job,Customer_Count,Average_Age,Average_Balance,Average_Duration
admin.,5171,39.28988590214659,1135.838909301876,246.89673177335138
blue-collar,9732,40.0440813810111,1078.8266543362104,262.90156185778875
entrepreneur,1487,42.19098856758574,1521.470073974445,256.3093476798924
housemaid,1240,46.41532258064516,1392.3951612903227,245.825
management,9458,40.44956650454642,1763.6168323112709,253.99577077606259
retired,2264,61.62676678445229,1984.215106007067,287.3613074204947
self-employed,1579,40.48448385053832,1647.9708676377454,268.1570614312856
services,4154,38.740250361097736,997.0881078478575,259.31872893596534
student,938,26.542643923240938,1388.0607675906183,246.65671641791045
technician,7597,39.31459786757931,1252.6320916151112,252.90496248519153
unemployed,1303,40.96162701458174,1521.7459708365311,288.5433614735226
unknown,288,47.59375,1772.357638888889,237.61111111111111
